---

$ .venv/bin/python -c "
import csv
import re

valid_pattern = re.compile(r'^[0-9]{6}/[0-9]{3}\$')

with open('entust/eksponaat.csv', 'r', encoding='utf-8') as f:
    reader = csv.reader(f)
    next(reader)  # Skip header
    count = 0
    for row in reader:
        entu_id = row[0] if len(row) > 0 else ''
        code = row[5] if len(row) > 5 else ''
        
        # Catch both missing and invalid codes
        if not code or not valid_pattern.match(code):
            count += 1
            status = 'MISSING' if not code else 'INVALID'
            print(f'{count},{entu_id},{code},{status}')
" > vigaseid_koode.csv

---

322,52964e4bbdf9203d66ccf8fd,f000066/009,INVALID
323,52964e4bbdf9203d66ccf8fe,f000066/010,INVALID
324,52964e4bbdf9203d66ccf8ff,f000066/011,INVALID
325,52964e4bbdf9203d66ccf900,f000066/012,INVALID
326,52964e4bbdf9203d66ccf901,f000066/013,INVALID
327,52964e4bbdf9203d66ccf902,f000066/014,INVALID
328,52964e4bbdf9203d66ccf903,f000066/015,INVALID
329,52964e4bbdf9203d66ccf904,f000066/016,INVALID
330,52964e4bbdf9203d66ccf905,f000066/017,INVALID
331,52964e4bbdf9203d66ccf906,f000066/018,INVALID
332,52964e4bbdf9203d66ccf907,f000066/019,INVALID
333,52964e4bbdf9203d66ccf908,f000066/020,INVALID
334,52964e4bbdf9203d66ccf909,f000066/021,INVALID
335,52964e4bbdf9203d66ccf90a,f000066/022,INVALID
336,52964e4bbdf9203d66ccf90b,f000066/023,INVALID
337,52964e4bbdf9203d66ccf90c,f000066/024,INVALID
338,52964e4bbdf9203d66ccf90d,f000066/025,INVALID
339,52964e4bbdf9203d66ccf90e,f000066/026,INVALID
340,52964e4bbdf9203d66ccf90f,f000066/027,INVALID
341,52964e4bbdf9203d66ccf910,f000066/028,INVALID
342,52964e4bbdf9203d66ccf911,f000066/029,INVALID
343,52964e4bbdf9203d66ccf912,f000066/030,INVALID
344,52964e4bbdf9203d66ccf913,f000066/031,INVALID
345,52964e4bbdf9203d66ccf914,f000066/032,INVALID
346,52964e4bbdf9203d66ccf915,f000066/033,INVALID
347,52964e4bbdf9203d66ccf916,f000148/001,INVALID
348,52964e4bbdf9203d66ccf917,f000148/002,INVALID
349,52964e4bbdf9203d66ccf918,f000148/003,INVALID
350,52964e4bbdf9203d66ccf919,f000148/004,INVALID
351,52964e4bbdf9203d66ccf91a,f000148/005,INVALID
352,52964e4bbdf9203d66ccf91b,f000066/034,INVALID
353,52964e4bbdf9203d66ccf91c,f000066/035,INVALID
354,52964e4bbdf9203d66ccf91d,f000066/036,INVALID
355,52964e4bbdf9203d66ccf91e,f000066/037,INVALID
356,52964e4bbdf9203d66ccf91f,f000066/038,INVALID
357,52964e4bbdf9203d66ccf920,f000066/039,INVALID
358,52964e4bbdf9203d66ccf921,f000066/040,INVALID
359,52964e4bbdf9203d66ccf922,f000066/041,INVALID
360,52964e4bbdf9203d66ccf923,f000066/042,INVALID
361,52964e4bbdf9203d66ccf924,f000066/043,INVALID
362,52964e4bbdf9203d66ccf925,f000066/044,INVALID
363,52964e4bbdf9203d66ccf926,f000066/045,INVALID
364,52964e4bbdf9203d66ccf927,f000066/046,INVALID
365,52964e4bbdf9203d66ccf928,f000066/047,INVALID
366,52964e4bbdf9203d66ccf929,f000066/048,INVALID
367,52964e4bbdf9203d66ccf92a,f000066/049,INVALID
368,52964e4bbdf9203d66ccf92b,f000066/050,INVALID
